,Title,Plot,genre
2672,Mambo Italiano,The son of Italian immigrants to Canada struggles to find the best way to reveal to his parents that he's gay.,Comedy
2674,Dorm Daze,"Dorm Daze unfolds during a crazy afternoon at a university co-ed dormitory in the days before Christmas break when one of the students, Styles McFee, hires a prostitute named Dominique for his unwitting brother, Booker, to lose his virginity. But Booker prefers to lose his virginity to his long-term sweetheart Rachel just down the hall. Meanwhile, another student, named Wang, awaits the arrival of a French foreign exchange student, who speaks little English, also named Dominique. Farcical wackiness ensues as a series of mistaken identities and mishaps escalate into monumental proportions starting when Wang leaves for work, Dominique the Student arrives and is mistaken for the prostitute by Styles, while Dominique the Hooker is mistaken for the student by others including the two dorm gossip queens Lynne and Marla. Other characters involve Adrienne, who is targeted by the dorm geek, Newmar, with whom they had a drunken fling the night before. Adrienne tries to find a missing handbag belonging to her friend, Claire, who is having boyfriend troubles with Tony. Adrienne's roommate, Gerri, inadvertently gets her hands on another handbag similar looking to Claire's which is filled with $30,000 in cash. Gerri is soon mistaken for a shadowy hit woman, named Britany the Snake, by a local gangster named Lorenzo. Elsewhere, Pete's punk friend Cliff enters the dorm when Pete has to go to work. Cliff soon teams up with Dominique the Hooker to find the missing handbag with the cash while the token gay student Foosball works his way through all the plots of this collegiate comedy of Shakespearean proportions.",Comedy
2679,Angie,"Angie lives in the Bensonhurst section of Brooklyn, N.Y. and dreams of a better life than everyone she knows. When she finds that she is pregnant by her boyfriend Vinnie, she decides that she will have the baby, but not Vinnie as a husband. This turns the entire neighborhood upside down and starts her on a journey of self discovery. This journey includes her family, a new lover and her life. Even her best friend Tina has trouble understanding Angie.",Comedy
2680,Avalon,"In a future world, young people are increasingly becoming addicted to an illegal (and potentially deadly) battle simulation game called Avalon. When Ash, a star player, hears of rumors that a more advanced level of the game exists somewhere, she gives up her loner ways and joins a gang of explorers. Even if she finds the gateway to the next level, will she ever be able to come back to reality?",Action
2681,Beethoven,"The Newton family live in their comfortable home, but there seems to something missing. This ""hole"" is filled by a small puppy, who walks into their home and their lives. Beethoven, as he is named, grows into a giant of a dog... a St Bernard. Doctor Varnick, the local vet has a secret and horrible sideline, which requires lots of dogs for experiments. Beethoven is on the bad doctor's list.",Comedy
2682,Beethoven's 2nd,Beethoven becomes a father. But the puppies owner wants to use them and the mother in her divorce bargaining. But the Newton kids steal the puppies. Will they be allowed to keep them? And will they be able to rescue the puppies mother and re-unite her with her family?,Comedy
2684,Time and Tide,"Tyler is a restless, streetwise 21-year-old Hong Kong native who's had trouble gaining the trust of others all his life. He secretly fantasizes about living the good life in South America. ...",Action
2686,PCU,"A high school senior comes to visit Port Chester (aka Politically Correct U) for the weekend, and the admissions department mistakenly sets him up to stay with Droz, a seven year student and party-animal who lives in The Pit, the most offensive house on campus. After trying to pawn the pre-freshman off on his house mate, Droz sets off on his normal daily activities including disrupting a political protest by throwing meat at a group of vegan protesters. The President of the University then receives a number of complaints, and with the help of her lackey, she may finally have the power to kick Droz's house off campus. But the Pit throws an all-campus rager where George Clinton and the Parliament Funkadelic performs, and everything might turn out alright if the various political groups can forget their protests for one night and just have fun together.",Comedy
2687,The Rookie,"Nick Pulovski is a cop, who is presently assigned to the auto theft division and who for the most part of his career has not done anything worthwhile. But when he discovers that a man named Strom is the brains behind a major car theft and chop shop ring, he sees this as his opportunity to do something. After his partner is killed, the case is then transfered to homicide, so he is taken off the case. And he is assigned a new partner, David Ackerman. a cop who has just recently been promoted to detective. But Pulovski feeling as if Strom is his decides to continue pursuing him but Ackerman who tries to play by the rules is not sure what to do, and he is also a little afraid cause of a childhood incident.",Action
2690,It's Pat,"Pat Riley, an obnoxious busybody of undeterminable sex, meets and falls in love with Chris, a sensitive, caring person also of undeterminable sex. Their relationship suffers because Pat's a lout, and cannot decide on a direction for its life. Meanwhile, Pat's neighbor Kyle falls further and further into obsession with Pat, fascinated by its indeterminate sexuality.",Comedy
2691,The Gun in Betty Lou's Handbag,"Betty Lou is a librarian in a very small town. Her husband, Alex, is a police detective who takes her for granted. She is the ultimate mouse. After a gangland figure is mysteriously murdered in town, she finds the murder weapon, but can't get anyone's attention to tell them (we're talking very mousy, here). Finally in a fit of frustration she fires it in a restroom and when taken to the police station insists she is the murderer. It has the desired effect, people do pay attention to her. With hints at social graces from the hookers in her cell block, she's on her way.",Comedy
2693,Leap of Faith,"Jonas is a fraudulent faith healer, who uses all the tricks in the book to con the people attending his shows. Jonas and his team of helpers, including Jane who is in need of some romance, travel the country stopping at big towns and cities to put on their show. When one of the trucks breaks down in a small town, Jonas is quick to accept the challenge of making money in this town. His other goal is to seduce Marva, a waitress in the town, but she's a hard nut to crack, as is Will, the local sheriff who's determined to expose Jonas as a fraud.",Comedy
2697,School of Rock,"Down and out rock star Dewey Finn gets fired from his band, and he faces a mountain of debts and depression. He takes a job as a 4th grade substitute teacher at an uptight private school where his attitude and hijinx have a powerful effect on his students. He also meets Zack, a 10-year-old guitar prodigy, who could help Dewey win a ""battle of the bands"" competition, which would solve his financial problems and put him back in the spotlight.",Comedy
2699,The Station Agent,"When his only friend and co-worker dies, a young man born with dwarfism moves to an abandoned train depot in rural New Jersey. Though he tried to maintain a life of solitude, he is soon entangled with an artist who is struggling with a personal tragedy and an overly friendly Cuban hot-dog vendor.",Comedy
2703,House of the Dead,"This film is a prequel to all of the The House of the Dead video games. Set on an island off the coast, a techno rave party attracts a diverse group of college coeds and a Coast Guard officer. Soon, they discover that their X-laced escapades are to be interrupted by zombies and monsters that attack them on the ground, from the air, and in the sea, ruled by an evil entity in the House of the Dead...",Action
2704,Intolerable Cruelty,A beautiful gold digger matches wits with a shrewd Beverly Hills divorce lawyer who is increasingly attracted to her.,Comedy
2705,Kill Bill: Vol. 1,"The lead character, called 'The Bride,' was a member of the Deadly Viper Assassination Squad, led by her lover 'Bill.' Upon realizing she was pregnant with Bill's child, 'The Bride' decided to escape her life as a killer. She fled to Texas, met a young man, who, on the day of their wedding rehearsal was gunned down by an angry and jealous Bill (with the assistance of the Deadly Viper Assassination Squad). Four years later, 'The Bride' wakes from a coma, and discovers her baby is gone. She, then, decides to seek revenge upon the five people who destroyed her life and killed her baby. The saga of Kill Bill Volume I begins.",Action
2706,Dopamine,A San Franciscan computer programmer falls in love with a schoolteacher in the days after the dot.com boom.,Comedy
2707,Girls Will Be Girls,"Three actresses at various places on the Hollywood food chain navigate the minefield of love, aging, and ambition. Oh, and they're all played by men!",Comedy
2710,Pieces of April,"In a very poor zone of New York, April Burns and her boyfriend, the Afro-American Bobby, are preparing to receive April's family for thanksgiving dinner. While Bobby tries to borrow a suit for himself, April realizes that her stove is broken. She tries desperately to find a neighbor that can let her cook the turkey, since she does not want to fail (again) with her family. Meanwhile, in a suburb of Pennsylvania, her dysfunctional family is preparing to travel to New York. While driving, the relationship between the Burns and their black-sheep April is disclosed through the conversations between her father Jim, her resented mother Joy, her brother, her sister and her grandmother.",Comedy
2715,Scary Movie 3,"A mysterious killer video tape is circulating around. One look at this tape and you have seven days left to live. News Reporter Cindy Campbell (Faris) witnesses this video tape and tries to work out a way to prevent her death. But this is not the only mystery to appear. Crop circles have been appearing in the local farm of Tom (Sheen) and George (Rex). With help from Aunt Shaneequa (Latifah), Cindy suspects that the aliens may be linked with the killer tape and must now work out both mysteries before it's the end of the world.",Comedy
2718,The Singing Detective,"""While hospitalized with an extreme case of psoriasis, novelist Dan Dark reworks his first book in his head. Feverish, paranoid and prone to musical outbreaks, he confuses himself with his protagonist, a detective investigating the murder of a prostitute in 1950s Los Angeles.""",Comedy
2725,The Matrix Revolutions,"Neo discovers that somehow he is able to use his powers in the real world too and that his mind can be freed from his body, as a result of which he finds himself trapped on a train station between the Matrix and the Real World. Meanwhile, Zion is preparing for the oncoming war with the machines with very little chances of survival. Neo's associates set out to free him from The Merovingian since it's believed that he is the One who will end the war between humans and the machines. What they do not know is that there is a threat from a third party, someone who has plans to destroy both the worlds.",Action
2727,Elf,"Buddy was a baby in an orphanage who stowed away in Santa's sack and ended up at the North Pole. Later, as an adult human who happened to be raised by elves, Santa allows him to go to New York City to find his birth father, Walter Hobbs. Hobbs, on Santa's naughty list for being a heartless jerk, had no idea that Buddy was even born. Buddy, meanwhile, experiences the delights of New York City (and human culture) as only an elf can. When Walter's relationship with Buddy interferes with his job, he is forced to reevaluate his priorities.",Comedy
2729,Love Actually,"Against the backdrop of aged has-been rock star Billy Mack's Christmas themed comeback cover of ""Love Is All Around"" which he knows is crap and makes no bones about it much to his manager Joe's chagrin as he promotes the record, several interrelated stories about romantic love and the obstacles to happiness through love for Londoners are presented in the five weeks preceding Christmas. Daniel's wife has just passed away, leaving him to take care of his adolescent stepson Sam by himself. Daniel is uncertain how to deal with Sam and his problems without his wife present, especially in light of a potential budding romance within their household. Juliet and Peter have just gotten married. They believe that Peter's best friend and best man Mark hates Juliet but won't say so to his or her face. Others looking at the situation from the outside believe Mark is jealous of Juliet as he is in love with Peter himself. Jamie, a writer, is taking a writing retreat by himself in rural France following catching his latest girlfriend in an indiscretion. Jamie ends up spending much time in France with Aurélia, the Portuguese woman hired as the housekeeper. The question becomes not only if they can communicate their day-to-day needs with each other as she speaks no English, he speaks no Portuguese, and neither speaks French well, but communicate what seems to be their increasing mutual attraction to each other. Sarah has been in love with her co-worker Karl for the two years they have worked together, this attraction which everyone in their workplace knows about. Sarah has to decide if she can be forward enough to express this love directly to Karl, especially in light of what has been her personal priority of dealing with a family issue. Harry and Karen have been in a stable long term marriage. His new assistant Mia drops hints to him that she would like them to be romantically involved. Harry has to decide whether to fall to the temptation, especially considering being married to a perceptive wife. Single and relatively young David is the newly elected Prime Minister. At 10 Downing Street, he is attracted to one of the new household servants, slightly overweight Natalie, but isn't sure what to do about it seeing as to their respective positions, the probable public scrutiny, and an incident involving the visiting U.S. President. Socially unaware Colin believes that the lack of romantic love in his life is all the fault of standoffish British women. As such, he decides to take decisive albeit somewhat unusual geographic action. And John and Judy are movie body doubles. They can communicate with each other straightforwardly while they are simulating sex filming a movie, but they may not be able to translate the feelings behind that simulation in real life to each other.",Comedy
2730,Father of the Bride,"In this remake of the Spencer Tracy classic, George and Nina Banks are the parents of young soon-to-be-wed Annie. George is a nervous father unready to face the fact that his little girl is now a woman. The preparations for the extravagant wedding provide additional comic moments.",Comedy
2732,Master and Commander: The Far Side of the World,"In April 1805 during the Napoleonic Wars, H.M.S. Surprise, a British frigate, is under the command of Captain Jack Aubrey. Aubrey and the Surprise's current orders are to track and capture or destroy a French privateer named Acheron. The Acheron is currently in the Atlantic off South America headed toward the Pacific in order to extend Napoleon's reach of the wars. This task will be a difficult one as Aubrey quickly learns in an initial battle with the Acheron that it is a bigger and faster ship than the Surprise, which puts the Surprise at a disadvantage. Aubrey's single-mindedness in this seemingly impossible pursuit puts him at odds with the Surprise's doctor and naturalist, Stephen Maturin, who is also Aubrey's most trusted advisor on board and closest friend. Facing other internal obstacles which have resulted in what they consider a string of bad luck, Aubrey ultimately uses Maturin's scientific exploits to figure out a way to achieve his and the ship's seemingly impossible goal.",Action
2737,The Barbarian Invasions,"In this belated sequel to 'The Decline of the American Empire', 50-something Montreal college professor, Remy, learns that he is dying of liver cancer. He decides to make amends meet to his friends and family before he dies. He first tries to made peace with his ex-wife Louise, who asks their estranged son Sebastian, a successful businessman living in London, to come home. Sebastian makes the impossible happen, using his contacts and disrupting the entire Canadian system in every way possible to help his father fight his terminal illness to the bitter end, while he also tries to reunite his former friends, Pierre, Alain, Dominique, Diane, and Claude to see their old friend before he passes on.",Comedy
2738,Bad Santa,"Willie T. Stokes is a convicted con man who's led a miserable life. He drinks heavily and constantly embarrasses himself publicly. He only works once a year dressed as Santa. But then come Christmas Eve, he and his pint-sized helper dwarf Marcus stage elaborate robberies and take their department stores for everything they got. This year, they hit a mall in suburban Phoenix, Arizona. This time around, Willie gets distracted by having sex with large women, a bartender who is attracted to Santas, and a kid who's convinced he's the real deal. However, this time around Marcus must once again put up with Willie's heavy drinking and a series of incidents that constantly shoot themselves in the foot. Not to mention a nosy department store security guard who's onto them and wants his cut of the loot. Will Willie and Marcus make it to next Christmas? Or will this be the year the dynamic duo finally face justice?",Comedy
2739,The Haunted Mansion,"Married realtors Jim and Sara with their children go to Gracey Manor and Mr. Gracey is enamored with Sara and they discover that Sara looks like Mr. Gracey's old girlfriend, Elizabeth, who died young and they think it was a suicide but discover something more sinister.",Comedy
2740,Timeline,"In this case, a group of archaeologists and combat experts led by Paul Walker and Frances O'Connor use a ""3-D fax machine"" (so much for technobabble!) to time-travel back to France in 1357, in hopes of retrieving Walker's father and returning safely to the present. No such luck! Fending for themselves against marauding hordes of medieval French warriors at war with the invading British, these semi-intrepid travelers find their body count rising, and the deadline for their return home is rapidly approaching.",Action
2745,New Jack City,"The gangster Nino has a gang who call themselves Cash Money Brothers. They get into the crack business and not before long they make a million dollars every week. A cop, Scotty, is after them. He tries to get into the gang by letting an ex-drug addict infiltrate the gang, but the attempt fails miserably. The only thing that remains is that Scotty himself becomes a drug pusher.",Action
2746,Slacker,"Presents a day in the life in Austin, Texas among its social outcasts and misfits, predominantly the twenty-something set, using a series of linear vignettes. These characters, who in some manner just don't fit into the establishment norms, move seamlessly from one scene to the next, randomly coming and going into one another's lives. Highlights include a UFO buff who adamantly insists that the U.S. has been on the moon since the 1950s, a woman who produces a glass slide purportedly of Madonna's pap smear, and an old anarchist who sympathetically shares his philosophy of life with a robber.",Comedy
2747,Guarding Tess,"Doug is a Secret Service Agent who has just completed his stint in charge protecting Tess Carlisle, widow of a former U.S. President, and close personal friend of the President. He finds that she has requested that he not be rotated but instead return to be her permanent detail. Doug is crushed. He wants off her detail. She is very difficult to guard and makes her detail crazy with her whims and demands. Doug returns with no idea of how to continue dealing with her.",Comedy
2748,Highlander II: The Quickening,"The second ""Highlander"" movie, again with Christopher Lambert and Sean Connery. It's the year 2024 and all the ozone above Earth has gone. To protect people from dying, MacLeod helped in the construction of a giant ""shield"", several years ago. But, since there isn't left anyone Immortal after MacLeod's victory in the previous film, he has stopped being an Immortal himself. Now he is just an old man, until one day some other Immortals arrive on our planet. You see, the Immortals come from another planet...",Action
2750,HouseSitter,"Con artist Gwen moves into Newton's empty house without his knowledge, and begins setting up house posing as his new wife.",Comedy
2751,Hudson Hawk,"Eddie Hawkins, called Hudson Hawk has just been released from ten years of prison and is planning to spend the rest of his life honestly. But then the crazy Mayflower couple blackmail him to steal some of the works of Leonardo da Vinci. If he refuses, they threaten to kill his friend Tommy.",Action
2754,King Ralph,"When an accident obliterates the British royal family and most of its branches, a desperate geneological search discovers the next king: Ralph, a sleazy American lounge singer. Can Ralph measure up to the job, even with the help of loyal aristocrat Willingham?",Comedy
2755,The Last Boy Scout,A down and out cynical detective teams up with a down and out ex-quarterback to try and solve a murder case involving a pro football team and a politician.,Action
2758,Mr. Destiny,"Larry Burrows (Jim Belushi) is unhappy and feels powerless over his life. He believes his entire life could have turned out differently had he not missed that shot in a baseball game when was a kid. One night he meets this mysterious man named Mike (Michael Caine), who could change his fate by offering him that alternative life he always dreamed of. But as Burrows embarks on this journey of self discovery he realizes that even this new life has its problems and drawbacks..",Comedy
2759,Passenger 57,"Air travel is the safest, the FAA says. But the FAA never figured the risk with Charles Rane on board. ""The Rane of Terror"" has masterminded four terrorist attacks. Soon there will be a fifth -- and that's bad news for the passengers on Flight 163. But there's good news too: the man in seat 57! Wesley Snipes plays John Cutter, an undercover security operative who enters the lavatory and exits to find Rane (Bruce Payne) and his gang have taken over. Cutter's next move is clear. Do. Or be done to.",Action
2763,The Wedding Banquet,"To satisfy his nagging parents, a gay landlord and a female tenant agree to a marriage of convenience, but his parents arrive to visit and things get out of hand.",Comedy
2765,Quick Change,"Three thieves successfully rob a New York City bank, but making the escape from the city proves to be almost impossible.",Comedy
2766,Show Me Love,"Åmål is a small insignificant town where nothing ever happens, where the latest trends are out of date when they get there. Young Elin has a bit of a bad reputation when it comes to guys, but the fact is that she is inexperienced in that matter. Another girl in her school, Agnes, is in love with her but is too shy to do anything about it. For a number of reasons, Elin ends up at Agnes' birthday party as the only guest. They have a girl's night out together but after that Elin desperately avoids Agnes, refusing to even consider her own feelings toward Agnes.",Comedy
2768,Wild at Heart,"Lula's psychopathic mother goes crazy at the thought of Lula being with Sailor, who just got free from jail. Ignoring Sailor's probation, they set out for California. However their mother hires a killer to hunt down Sailor. Unaware of this, the two enjoy their journey and themselves being together... until they witness a young woman dying after a car accident - a bad omen.",Comedy
2770,Nothing to Lose,"When a man (Robbins) believes he has discovered that his wife is having an affair with his boss, it sets off a chain reaction of events. First he wanders into a ghetto where a robber (Lawrence) tries to take his money at gunpoint, but instead sets a wild ride from California to Arizona. The two eventually become reluctant friends. Discussing robbery techniques, they decide to get back at the boss by robbing an office safe containing hundreds of thousands of dollars. Life is further complicated by another pair of robbers who chase the first two for infringing on their territory.",Action
2771,Hero,"In ancient China, before the reign of the first emperor, warring factions throughout the Six Kingdoms plot to assassinate the most powerful ruler, Qin. When a minor official defeats Qin's three principal enemies, he is summoned to the palace to tell Qin the story of his surprising victory.",Action
2773,Doc Hollywood,"Benjamin Stone is a young doctor driving to L.A where he was offered a new job as a plastic surgeon in Beverly Hills. He gets off the highway to avoid a traffic jam, but gets lost and ends up crashing into a fence in the small town of Grady. He is sentenced to 32 hrs of community service at the local hospital. All he wants is to serve the sentence and get moving, but gradually the locals become attached to the new doctor, and he falls for the pretty ambulance driver, Lou. Will he leave?",Comedy
2774,Crime Story,"A dark and handsome true-crime thriller about kidnapping and police corruption in Hong Kong. Once of Jackie Chan's most serious roles, but still overflowing with spectacular acrobatic sequences.",Action
2776,Leprechaun,"When Dan O'Grady returns to the U.S. after stealing some Irish leprechaun's pot of gold, he thinks he can settle down and enjoy his newfound wealth. He thought wrong. The leprechaun followed him and O'Grady barely gets away with his life, having locked the little monster in his basement. Ten years later, J.D. and his spoiled daughter Tory move in. By accident, the leprechaun is released and almost immediately the annoying creature starts to look for his gold, not displaying any respect for human life.",Comedy
2782,The Last Samurai,"In the 1870s, Captain Nathan Algren, a cynical veteran of the American Civil war who will work for anyone, is hired by Americans who want lucrative contracts with the Emperor of Japan to train the peasant conscripts for the first standing imperial army in modern warfare using firearms. The imperial Omura cabinet's first priority is to repress a rebellion of traditionalist Samurai -hereditary warriors- who remain devoted to the sacred dynasty but reject the Westernizing policy and even refuse firearms. Yet when his ill-prepared superior force sets out too soon, their panic allows the sword-wielding samurai to crush them. Badly wounded Algren's courageous stand makes the samurai leader Katsumoto spare his life; once nursed to health he learns to know and respect the old Japanese way, and participates as advisor in Katsumoto's failed attempt to save the Bushido tradition, but Omura gets repressive laws enacted- he must now choose to honor his loyalty to one of the embittered sides when the conflict returns to the battlefield...",Action
2784,Something's Gotta Give,"Harry Sanborn is an aged music industry exec with a fondness for younger women like Marin, his latest trophy girlfriend. Things get a little awkward when Harry suffers a heart attack at the home of Marin's mother Erica. Left in the care of Erica and his doctor, a love triangle starts to take shape.",Comedy
2785,Stuck on You,"Bob and Walt Tenor are twin brothers, who not only share a passion for life, but also a liver. Thanks to their teamwork, being conjoined twins is not a handicap to them. But, when Walt's dreams of stardom of acting on the screen and Bob's shyness clashes, they both begin to fall out. This doesn't help when Bob's Internet girl arrives in town, unaware of their handicap, and when Walt gains his own TV show with Cher.",Comedy
2790,Calendar Girls,"Middle aged Chris Harper and Annie Clarke are best friends. They spend much of their time at their local Knapely, Yorkshire County chapter of the Women's Institute (WI), whose motto is ""enlightenment, fun and friendship"". Although they like most of the women at the WI (the friendship part), they, but the perceived flaky Chris in particular, hold the way Marie, the local president, runs the chapter with derision. They find much of what goes on there, especially the monthly presentations, banal and devoid of enlightenment and fun. Equally as banal was last year's fund-raising calendar, featuring local bridges, which raised a meager £75.60, with this year's proposed calendar, local churches, promising to be even more so. After Annie's husband John passes away from leukemia, Chris wants the WI to provide a memorial in his memory: a new sofa for the family room at the hospital. The one Chris wants to buy costs £999, which she proposes to raise by changing the fund-raising calendar to one featuring tasteful photographs of nude Knapely WI members. She got the idea by seeing all around her the notion of the old adage that sex sells. Annie likes the idea as it is analogous to one of horticultural-loving John's last statements about plants being the most glorious in the latter stages of their life, after which they quickly go to seed. To get the project off the ground, they not only have to convince nine other WI members to pose (December to be a group photograph), but they have to find a photographer they trust that will treat this task as an art project. Conversely, they aren't sure if they and the calendar will meet with the same contempt from Marie, the national WI organization and their friends and family that they are so trying to change in the Knapely WI, and in the process not only not raise the necessary money but in fact lose money instead. Publicity for the project in any form may have its own consequences, especially for Chris.",Comedy
2794,Cheaper by the Dozen,"The Bakers, a family of 14, move from small-town Illinois to the big city after Tom Baker gets his dream job to coach his alma mater's football team. Meanwhile, his wife also gets her dream of getting her book published. While she's away promoting the book, Tom has a hard time keeping the house in order while at the same time coaching his football team, as the once happy family starts falling apart.",Comedy
2796,Paycheck,"Michael Jennings is a reverse engineer and what he does is technical jobs for certain companies and as soon as he is done, his memory of the work he has done is wiped out. Now the longest he has been contracted is 2 months. But now billionaire, James Rethrick offers him a job that would last 2 years, maybe 3, and he promises that he will probably earn 8 figures. Michael agrees. Before beginning he turns in all of his personal effects. And when the job is done, his memory is erased and he learns he made over 90 million dollars over the three years. When he goes to claim it and his personal effects, he discovers that prior to the erasure of his memory he waived his rights to the money he earned and that the items that were given to him were not the ones he gave when he began. Later he is arrested by the FBI who say that he committed some act of treason and murder. It's while he is in custody that he escapes using some the items that he was given. He later meets with a friend who gives him some information that helps him understand what is going on. And at the same time Rethrick for some reason wants him so he is being pursued by Rethrick's people.",Action
2801,Along Came Polly,"Reuben Feffer thinks he's found the love of his life but on his honeymoon he discovers her cheating on him with a scuba instructor. Reuben travels back home to get his life on track. On a night out with best pal, Sandy Lyle, Reuben discovers an old school friend, Polly Prince. Reuben feels a connection straight away, and tries constantly to get her to like him. But it's not going to be easy for Reuben, especially when he spends his days calculating risks, and when someone unexpected turns up.",Comedy
2804,Once Upon a Crime...,"Phoebe and fellow American Julian Peters meet in Rome, find a lost dog, and agree to return it to Monte Carlo to split the five thousand dollar reward. Discovering the dog's owner dead, they panic and become fugitives. Other victims of misfortune also become suspects, as the plot twists and luck and judgment desert everyone.",Comedy
2805,"Car 54, Where Are You?","Brash NYC policeman Officer Gunther Toody is partnered with stiff, by-the-book Officer Francis Muldoon to protect an important mafia witness prior to testifying against orgainzed crime in Brooklyn, all the while dealing with their personal lives, overbearing spouses, common criminals, arms dealers, and their officious boss Captain Anderson.",Comedy
2806,Only the Strong,"Ex-Special Forces soldier Louis Stevens returns to Miami to find his former high school overrun by drugs and violence. A master of the Brazilian martial art, capoeira, Stevens pledges to ...",Action
2807,Melvin Goes to Dinner,Award-winning comedy about a lonely young man who finds himself at a restaurant with two strangers and his best friend.,Comedy
2809,Ichi the Killer,"As sadomasochistic yakuza enforcer Kakihara searches for his missing boss he comes across Ichi, a repressed and psychotic killer who may be able to inflict levels of pain that Kakihara has only dreamed of.",Action
2810,The Legend of Suriyothai,"The film describes historical events in the life of the heroine, Suriyothai, the queen of King Mahachakrapat. from the age of 15, ranging from love and attachment, royal wedding, resettlement in the capital, court life, intrigues, and sustenance of royal dignity.",Action
2812,Win a Date with Tad Hamilton!,"A small-town girl wins a date with a male celebrity through a contest. When the date goes better than expected, a love triangle forms between the girl, the male celebrity, and the girl's best friend.",Comedy
2814,The Big Bounce,"Jack Ryan, a charming but mischievous kid with a history of small cons, never nasty, as he always approaches life from the pleasant side, goes to surfers paradise Hawai, where dodgy district judge Walter Crewes enlists him to get to real big criminals. Jack finds himself teaming up in bed and thieving 'business' with Nancy Hayes, the greedy mistress of evil hotel magnate Ray Ritchie and his dumb lieutenant Bob Rogers, Jr. and a real temptress gold-digger but is about the only one without an hidden agenda...",Comedy
2815,The Perfect Score,Six teenagers from diverse backgrounds - among them the school's star basketball player - conspire to break into a SAT testing center to steal the answers in hope of acing their exam. They ultimately realize that the answer to their problems and the key to their happiness may not lie in achieving a perfect score.,Comedy
2816,Latter Days,"Aaron Davis (Steve Sandvoss) and Christian Markelli (Wes Ramsey) are perhaps the two most opposite people in the world. Aaron is a passionate young Elder (a Mormon missionary) who wants to do his family and church proud. Christian is a shallow West Hollywood waiter/party boy who only looks forward to what man the next night will bring to him. After Aaron and three other Elders move into the apartment across from his, Christian's friends make a bet that he can't get one of them into the sack, so he instantly latches onto Aaron, suspecting there is more than meets the eye to him. There are two problems, though: Christian finds himself questioning his own identity as he falls in love with Aaron and the Mormon Church treats homosexuality as a sinful lifestyle. When Aaron's burgeoning sexuality is discovered, they will have to go through trials of regret, loss, perseverance, and forgiveness if they want to get to the thing that matters to them most: each other.",Comedy
2819,The Lost Skeleton of Cadavra,"A dedicated scientist, aided by his clueless wife, rolls up his shirt sleeves and tries to save the world from a radioactive monster, curious space aliens, an evil scientist and a crabby skeleton in this send-up of the best of the B movies of the 1950's.",Comedy
2820,Da Hip Hop Witch,"5 white kids get lost in the hood looking for da hip hop witch, a year later their footage was found.",Action
2822,50 First Dates,"Henry Roth lives in a Hawaiian paradise with the company of endless women with no strings attached. This is until he meets Lucy Whitmore. Both Henry and Lucy enjoy the company of each other and feel the start of a serious relationship occurring. Approaching Lucy the next day, Henry is confused when Lucy fails to recognize him. This is the moment Henry discovers that Lucy actually suffers from short term memory loss and can't remember each individual day. Henry won't let this stop him and is prepared to make her fall in love with him all over again, each and every day.",Comedy
2823,Welcome to Mooseport,"A US president who has retired after two terms in office returns to his hometown of Mooseport, Maine and decides to run for Mayor against another local candidate.",Comedy
2824,Monsieur Ibrahim,"In a street called Blue in a very poor neighborhood in Paris, Monsieur Ibrahim is an old Muslim Turkish owner of a small market. He becomes friend of the teenager Jewish Moises, tenderly nicknamed Momo, who lives with his father in a small apartment on the other side of the street. Monsieur Ibrahim gives paternal love and teaches the knowledge of the Qur'an to the boy, receiving in return love and respect.",Comedy
2826,Confessions of a Teenage Drama Queen,"When the teenager Mary Elizabeth Steppe, a.k.a. Lola, moves with her mother and two younger twin sisters from New York to the suburb of Dellwood, New Jersey, she has the feeling that her cultural and entertaining world ended. While in school, the displaced Lola becomes close friend of the unpopular Ella, who is also a great fan of the her favorite rock band Sidarthur. However, the most popular girl in the school, Carla Santini, disputes the lead role in an adaptation of Pygmalion with Lola and also the leadership of their mates. When the last concert of Sidarthur is sold-out, Lola plans with Ella to travel to New York and buy the tickets from scalpers. However, the girls get into trouble while helping the lead singer and Lola's idol Stu Wolf, changing their lives forever.",Comedy
2827,EuroTrip,"Ohio high school student Scott Thomas is a good student and nice guy - albeit a little predictable - who is about to graduate and go into pre-med. He is unceremoniously dumped by his whorish girlfriend Fiona on graduation day. Among the people he turns to in his hour of despair is his German pen pal, Mike. Scott and Mike seem to have a special connection. After Mike makes advances to Scott now that he and Fiona are not seeing each other, Scott abruptly sends Mike a message saying he never wants to hear from him again. However, Scott learns shorty thereafter that Mike is actually a beautiful girl named Mieke. By this time, Mieke has blocked his messages. Thinking that Mieke is actually who he was meant to be with, Scott, impulsively for a change, decides to go to Berlin to be with her. Along for the ride is Scott's best friend, the girl crazy Cooper Harris. They manage only to get a flight into London, and thus have to make their way from London to Berlin. Along the way in Paris, they run into their high school friends, twins Jenny and Jamie, who are backpacking through Europe. Scott and Cooper consider them the most mismatched twins ever, Jamie who is a walking encyclopedia, and Jenny a girl who they treat as just one of the guys. As the four try to make their way to Berlin, they run into a few obstacles and few adventures. Scott hopes that all these problems are worth it when he has his much hyped in his mind meeting with Mieke.",Comedy
2829,Club Dread,When a serial killer interrupts the fun at the swanky Coconut Pete's Coconut Beach Resort--a hedonistic island paradise for swingers--it's up to the club's staff to stop the violence...or at least hide it.,Comedy
